#time n_prey n_predator
0.006 15 13
0.018 11 9
0.030 13 7
0.058 16 3
0.078 16 1
0.080 22 1
0.109 46 1
0.117 49 2
0.133 64 4
0.141 67 6
0.147 58 10
0.157 49 13
0.164 37 15
0.181 17 13
0.197 13 9
0.209 13 7
0.214 11 5
0.225 13 4
0.226 12 4
0.227 13 4
0.231 16 4
0.251 17 2
0.263 20 1
0.268 26 2
0.270 29 2
0.293 41 2
0.296 53 2
0.297 49 2
0.307 59 3
0.309 60 3
0.319 62 6
0.321 66 7
0.323 63 8
0.327 65 9
0.328 58 9
0.371 12 11
0.379 9 9
0.380 8 9
0.382 14 8
0.389 10 6
0.400 13 5
0.417 18 3
0.417 13 3
0.424 15 2
0.434 20 2
0.435 20 2
0.460 38 2
0.464 34 0
0.465 42 0
0.477 50 2
0.479 52 1
0.484 56 3
0.489 59 3
0.501 63 7
0.502 64 7
0.506 62 9
0.542 16 13
0.554 12 9
0.562 10 7
0.566 14 7
0.577 15 4
0.605 15 2
0.613 19 2
0.621 24 2
0.623 25 1
0.642 35 1
0.643 35 1
0.650 41 2
0.664 53 3
0.666 57 3
0.669 58 3
0.678 63 5
0.679 61 7
0.682 64 7
0.683 65 8
0.684 62 9
0.690 58 10
0.691 53 12
0.692 55 12
0.694 52 12
0.705 34 16
0.706 32 17
0.710 26 16
0.711 24 15
0.712 26 16
0.718 20 14
0.720 18 14
0.731 13 11
0.739 12 9
0.748 12 6
0.761 9 4
0.772 15 3
0.774 15 3
0.791 18 1
0.794 21 2
0.799 24 1
