#phase	intensity
0.000000	4.002400
0.002000	4.002400
0.004000	4.007200
0.006000	4.012000
0.008000	4.019200
0.010000	4.028800
0.012000	4.038400
0.014000	4.050400
0.016000	4.062400
0.018000	4.074400
0.020000	4.086400
0.022000	4.100800
0.024000	4.115200
0.026000	4.127200
0.028000	4.139200
0.030000	4.151200
0.032000	4.163200
0.034000	4.175200
0.036000	4.187200
0.038000	4.199200
0.040000	4.211200
0.042000	4.220800
0.044000	4.232800
0.046000	4.244800
0.048000	4.256800
0.050000	4.268800
0.052000	4.280800
0.054000	4.295200
0.056000	4.307200
0.058000	4.319200
0.060000	4.333600
0.062000	4.345600
0.064000	4.357600
0.066000	4.372000
0.068000	4.384000
0.070000	4.396000
0.072000	4.408000
0.074000	4.420000
0.076000	4.434400
0.078000	4.446400
0.080000	4.458400
0.082000	4.470400
0.084000	4.482400
0.086000	4.494400
0.088000	4.506400
0.090000	4.520800
0.092000	4.532800
0.094000	4.544800
0.096000	4.556800
0.098000	4.568800
0.100000	4.580800
0.102000	4.592800
0.104000	4.604800
0.106000	4.616800
0.108000	4.628800
0.110000	4.640800
0.112000	4.650400
0.114000	4.662400
0.116000	4.674400
0.118000	4.686400
0.120000	4.696000
0.122000	4.708000
0.124000	4.720000
0.126000	4.729600
0.128000	4.741600
0.130000	4.751200
0.132000	4.763200
0.134000	4.772800
0.136000	4.784800
0.138000	4.794400
0.140000	4.804000
0.142000	4.816000
0.144000	4.825600
0.146000	4.837600
0.148000	4.847200
0.150000	4.856800
0.152000	4.866400
0.154000	4.876000
0.156000	4.888000
0.158000	4.897600
0.160000	4.907200
0.162000	4.916800
0.164000	4.926400
0.166000	4.936000
0.168000	4.945600
0.170000	4.955200
0.172000	4.964800
0.174000	4.974400
0.176000	4.981600
0.178000	4.991200
0.180000	5.000800
0.182000	5.010400
0.184000	5.020000
0.186000	5.027200
0.188000	5.036800
0.190000	5.046400
0.192000	5.053600
0.194000	5.063200
0.196000	5.072800
0.198000	5.080000
0.200000	5.089600
0.202000	5.096800
0.204000	5.106400
0.206000	5.113600
0.208000	5.120800
0.210000	5.130400
0.212000	5.137600
0.214000	5.147200
0.216000	5.154400
0.218000	5.161600
0.220000	5.168800
0.222000	5.178400
0.224000	5.185600
0.226000	5.192800
0.228000	5.200000
0.230000	5.207200
0.232000	5.214400
0.234000	5.221600
0.236000	5.228800
0.238000	5.236000
0.240000	5.243200
0.242000	5.250400
0.244000	5.257600
0.246000	5.264800
0.248000	5.272000
0.250000	5.279200
0.252000	5.286400
0.254000	5.293600
0.256000	5.300800
0.258000	5.305600
0.260000	5.312800
0.262000	5.320000
0.264000	5.327200
0.266000	5.334400
0.268000	5.339200
0.270000	5.346400
0.272000	5.353600
0.274000	5.358400
0.276000	5.365600
0.278000	5.372800
0.280000	5.377600
0.282000	5.384800
0.284000	5.389600
0.286000	5.396800
0.288000	5.401600
0.290000	5.408800
0.292000	5.413600
0.294000	5.420800
0.296000	5.425600
0.298000	5.430400
0.300000	5.437600
0.302000	5.442400
0.304000	5.449600
0.306000	5.454400
0.308000	5.461600
0.310000	5.466400
0.312000	5.473600
0.314000	5.478400
0.316000	5.485600
0.318000	5.490400
0.320000	5.497600
0.322000	5.502400
0.324000	5.509600
0.326000	5.514400
