#energy n_counts
1000.000000 9995 
1004.020101 9872 
1008.040201 9574 
1012.060302 9567 
1016.080402 9463 
1020.100503 9141 
1024.120603 9049 
1028.140704 8905 
1032.160804 8773 
1036.180905 8760 
1040.201005 8449 
1044.221106 8398 
1048.241206 8239 
1052.261307 8361 
1056.281407 7960 
1060.301508 7826 
1064.321608 7804 
1068.341709 7639 
1072.361809 7601 
1076.381910 7354 
1080.402010 7357 
1084.422111 7201 
1088.442211 7288 
1092.462312 7023 
1096.482412 7056 
1100.502513 6857 
1104.522613 6895 
1108.542714 6399 
1112.562814 6566 
1116.582915 6493 
1120.603015 6329 
1124.623116 6111 
1128.643216 6048 
1132.663317 6016 
1136.683417 6036 
1140.703518 5750 
1144.723618 5882 
1148.743719 5763 
1152.763819 5765 
1156.783920 5697 
1160.804020 5567 
1164.824121 5295 
1168.844221 5323 
1172.864322 5374 
1176.884422 5102 
1180.904523 5242 
1184.924623 5078 
1188.944724 5161 
1192.964824 4979 
1196.984925 4875 
1201.005025 4854 
1205.025126 5060 
1209.045226 4893 
1213.065327 4768 
1217.085427 4646 
1221.105528 4568 
1225.125628 4551 
1229.145729 4617 
1233.165829 4552 
1237.185930 4698 
1241.206030 4606 
1245.226131 4419 
1249.246231 4590 
1253.266332 4250 
1257.286432 4060 
1261.306533 4512 
1265.326633 4306 
1269.346734 4324 
1273.366834 4384 
1277.386935 4343 
1281.407035 4418 
1285.427136 4294 
1289.447236 4230 
1293.467337 4409 
1297.487437 4424 
1301.507538 4410 
1305.527638 4267 
1309.547739 4560 
1313.567839 4366 
1317.587940 4395 
1321.608040 4400 
1325.628141 4615 
1329.648241 4448 
1333.668342 4601 
1337.688442 4603 
1341.708543 4453 
1345.728643 4575 
1349.748744 4597 
1353.768844 4864 
1357.788945 4642 
1361.809045 4486 
1365.829146 4553 
1369.849246 4554 
1373.869347 4638 
1377.889447 4822 
1381.909548 4806 
1385.929648 4634 
1389.949749 4826 
1393.969849 4774 
1397.989950 4606 
1402.010050 4540 
1406.030151 4417 
1410.050251 4562 
1414.070352 4377 
1418.090452 4477 
1422.110553 4726 
1426.130653 4411 
1430.150754 4303 
1434.170854 4186 
1438.190955 4112 
1442.211055 4058 
1446.231156 4036 
1450.251256 4030 
1454.271357 3756 
1458.291457 3633 
1462.311558 3721 
1466.331658 3517 
1470.351759 3424 
1474.371859 3313 
1478.391960 3497 
1482.412060 3165 
1486.432161 3223 
1490.452261 3030 
1494.472362 2776 
1498.492462 3090 
1502.512563 2927 
1506.532663 2672 
1510.552764 2593 
1514.572864 2453 
1518.592965 2580 
1522.613065 2586 
1526.633166 2420 
1530.653266 2565 
1534.673367 2304 
1538.693467 2204 
1542.713568 2064 
1546.733668 2272 
1550.753769 2148 
1554.773869 2026 
1558.793970 1941 
1562.814070 1755 
1566.834171 1760 
1570.854271 1885 
1574.874372 1789 
1578.894472 1675 
1582.914573 1697 
1586.934673 1819 
1590.954774 1681 
1594.974874 1624 
1598.994975 1635 
1603.015075 1514 
1607.035176 1374 
1611.055276 1717 
1615.075377 1788 
1619.095477 1381 
1623.115578 1436 
1627.135678 1468 
1631.155779 1278 
1635.175879 1516 
1639.195980 1669 
1643.216080 1205 
1647.236181 1485 
1651.256281 1442 
1655.276382 1463 
1659.296482 1195 
1663.316583 1351 
1667.336683 1256 
1671.356784 1307 
1675.376884 1216 
1679.396985 1378 
1683.417085 1124 
1687.437186 1208 
1691.457286 1141 
1695.477387 1115 
1699.497487 1062 
1703.517588 1210 
1707.537688 1112 
1711.557789 1105 
1715.577889 1048 
1719.597990 1114 
1723.618090 1080 
1727.638191 1109 
1731.658291 1079 
1735.678392 1118 
1739.698492 981 
1743.718593 1155 
1747.738693 948 
1751.758794 969 
1755.778894 940 
1759.798995 1085 
1763.819095 1057 
1767.839196 1219 
1771.859296 1201 
1775.879397 893 
1779.899497 953 
1783.919598 1112 
1787.939698 1007 
1791.959799 1160 
1795.979899 796 
1800.000000 836 
